order,P,T,L_s,ST,M,a=0.3,M_c=3,,t
132,100920205,25.5421777,0.060420236,7.10E-09,6.018592965,0.003376283,0.000719482,0.30470347,105.789633
133,100951931.1,25.5592349,0.060861594,7.10E-09,6.040703518,0.003337911,0.000628638,0.294972905,106.0846059
134,100979139.9,25.576116,0.061307591,7.11E-09,6.06281407,0.00330126,0.000538971,0.285442611,106.3700486
135,101001887.2,25.59281404,0.061758094,7.11E-09,6.084924623,0.003263317,0.000450486,0.275891905,106.6459405
136,101020333,25.60933287,0.06221322,7.12E-09,6.107035176,0.003226198,0.000365221,0.266632341,106.9125728
137,101034473.1,25.62567904,0.062672906,7.12E-09,6.129145729,0.00319043,0.000279927,0.257463166,107.170036
138,101044442.6,25.64184911,0.063137153,7.13E-09,6.151256281,0.003154058,0.000197338,0.248444975,107.4184809
139,101050294.9,25.65784439,0.063605939,7.13E-09,6.173366834,0.003118008,0.000115832,0.239527742,107.6580087
140,101052125.9,25.67366586,0.064079276,7.14E-09,6.195477387,0.003082215,3.62394E-05,0.230770076,107.8887788
141,101049958.3,25.68932167,0.064557144,7.15E-09,6.21758794,0.003048072,-4.28998E-05,0.222168928,108.1109477
142,101043935.2,25.70480478,0.065039554,7.15E-09,6.239698492,0.003012622,-0.000119215,0.213682691,108.3246304
143,101034055.3,25.72012458,0.065526474,7.16E-09,6.261809045,0.002979062,-0.000195565,0.205337586,108.529968
144,101020443.3,25.73527592,0.06601791,7.17E-09,6.283919598,0.002944558,-0.000269472,0.197108907,108.7270769
145,101003161.9,25.75026626,0.066513904,7.18E-09,6.306030151,0.002911563,-0.000342165,0.189088061,108.9161649
146,100982244.1,25.76508618,0.067014308,7.19E-09,6.328140704,0.002876798,-0.000414244,0.180991062,109.097156
147,100957806.1,25.77974452,0.067519246,7.20E-09,6.350251256,0.002843804,-0.000484064,0.173200625,109.2703566
148,100929861.3,25.79424862,0.068028691,7.21E-09,6.372361809,0.00281229,-0.000553671,0.165545394,109.435902
149,100898518.7,25.80859108,0.068542625,7.22E-09,6.394472362,0.002779393,-0.000621173,0.157955356,109.5938574
150,100863837.2,25.82277198,0.069061033,7.23E-09,6.416582915,0.002746568,-0.00068757,0.150465145,109.7443225
151,100825855.3,25.83679983,0.069583929,7.24E-09,6.438693467,0.002715441,-0.000753275,0.143164142,109.8874867
152,100784655.1,25.85067396,0.070111326,7.26E-09,6.46080402,0.002684234,-0.000817422,0.135986275,110.0234729
153,100740286.4,25.86439329,0.07064319,7.27E-09,6.482914573,0.00265287,-0.000880658,0.128879579,110.1523525
154,100692804.8,25.87796383,0.071179553,7.28E-09,6.505025126,0.002622714,-0.000942877,0.121951937,110.2743044
155,100642301.4,25.89138279,0.071720405,7.29E-09,6.527135678,0.002592067,-0.00100337,0.11513141,110.3894359
156,100588808.7,25.90464473,0.072265664,7.31E-09,6.549246231,0.002560417,-0.001063308,0.108297157,110.497733
157,100532376.3,25.91776135,0.072815413,7.32E-09,6.571356784,0.002531071,-0.001122356,0.10171347,110.5994465
158,100473098.1,25.93073751,0.073369723,7.34E-09,6.593467337,0.002502707,-0.001179634,0.095347836,110.6947943
159,100410979.3,25.94356524,0.073928443,7.35E-09,6.615577889,0.002472848,-0.001236909,0.088894741,110.7836891
160,100346105.3,25.95624837,0.074491647,7.36E-09,6.637688442,0.002443772,-0.001292587,0.082633876,110.8663229
161,100278548.3,25.96878554,0.075059336,7.38E-09,6.659798995,0.002414477,-0.001346933,0.07647409,110.942797
162,100208349.9,25.98118965,0.075631586,7.40E-09,6.681909548,0.002387701,-0.001400559,0.070567731,111.0133648
163,100135484.1,25.99344284,0.076208128,7.41E-09,6.704020101,0.002357535,-0.001454815,0.064396086,111.0777608
164,100060124.8,26.00555827,0.076789243,7.43E-09,6.726130653,0.002329934,-0.001505713,0.058669738,111.1364306
165,99982238.33,26.01754036,0.077374834,7.44E-09,6.748241206,0.002303226,-0.001557401,0.052972941,111.1894035
166,99901916.95,26.02938298,0.077964906,7.46E-09,6.770351759,0.002275373,-0.001607359,0.047340548,111.2367441
167,99819224.62,26.04109052,0.078559504,7.48E-09,6.792462312,0.002248404,-0.001656156,0.041876002,111.2786201
168,99734126.34,26.05266225,0.079158489,7.49E-09,6.814572864,0.002221327,-0.001705775,0.036369179,111.3149893
169,99646768.86,26.06409937,0.079762019,7.51E-09,6.836683417,0.002194519,-0.001752575,0.031103693,111.3460929
170,99557124.08,26.07540929,0.080370028,7.53E-09,6.85879397,0.002169165,-0.001800061,0.025915677,111.3720086
171,99465281.38,26.08658468,0.080982512,7.55E-09,6.880904523,0.002142441,-0.001845877,0.020772386,111.392781
172,99371280.73,26.09763238,0.081599514,7.57E-09,6.903015075,0.002117057,-0.001891014,0.015794286,111.4085753
173,99275153.73,26.10854981,0.082220989,7.59E-09,6.925125628,0.002091215,-0.001935641,0.010843633,111.4194189
174,99176977.76,26.11934009,0.082847005,7.61E-09,6.947236181,0.002066,-0.001978835,0.006060242,111.4254792
175,99076720.2,26.12999891,0.083477411,7.62E-09,6.969346734,0.00203999,-0.002022814,0.00119118,111.4266703
176,98974498.9,26.14054425,0.084112445,7.64E-09,6.991457286,0.002017455,-0.002064543,-0.003257216,111.4234131
177,98870334.75,26.15095525,0.08475192,7.66E-09,7.013567839,0.001990954,-0.002105977,-0.007935884,111.4154772
178,98764262.5,26.16124871,0.08539594,7.68E-09,7.035678392,0.001967698,-0.002146836,-0.012327029,111.4031502
179,98656286.24,26.17141788,0.086044392,7.70E-09,7.057788945,0.001943178,-0.002187742,-0.016784656,111.3863656
180,98546517.97,26.18146258,0.086697393,7.73E-09,7.079899497,0.001918652,-0.002226506,-0.021071948,111.3652936
181,98434957.14,26.19139789,0.087354981,7.75E-09,7.10201005,0.001897035,-0.002265408,-0.025146254,111.3401474
182,98321658.43,26.20120894,0.088017061,7.77E-09,7.124120603,0.001872602,-0.002303328,-0.029322556,111.3108248
183,98206637.36,26.21089874,0.088683622,7.79E-09,7.146231156,0.00184877,-0.00234106,-0.033421487,111.2774033
184,98089938.42,26.22047734,0.089354745,7.81E-09,7.168341709,0.001826884,-0.002378013,-0.037312313,111.240091
185,97971613.86,26.22993669,0.090030395,7.83E-09,7.190452261,0.001803483,-0.00241403,-0.041219311,111.1988717
186,97851693.16,26.23928535,0.090710624,7.86E-09,7.212562814,0.001781742,-0.00244957,-0.044959252,111.1539124
187,97730170.79,26.24851586,0.091395277,7.88E-09,7.234673367,0.001758601,-0.002485351,-0.048786817,111.1051256
188,97607156.18,26.25763586,0.092084567,7.90E-09,7.25678392,0.00173694,-0.00251902,-0.052350567,111.0527751
189,97482630.67,26.26664909,0.092778399,7.92E-09,7.278894472,0.001716011,-0.002553195,-0.055877111,110.9968979
190,97356629.2,26.27554371,0.093476702,7.95E-09,7.301005025,0.001692853,-0.002586779,-0.059490693,110.9374073
191,97229222.79,26.28432839,0.0941796,7.97E-09,7.323115578,0.001671366,-0.002619028,-0.06288207,110.8745252
192,97100425.49,26.29301057,0.094887106,7.99E-09,7.345226131,0.001651317,-0.002651111,-0.066145341,110.8083798
193,96970261.79,26.3015839,0.095599151,8.02E-09,7.367336683,0.001630077,-0.002682811,-0.069440793,110.738939
194,96838756.76,26.31004889,0.096315738,8.04E-09,7.389447236,0.001608958,-0.002714117,-0.072680815,110.6662582
195,96705953.09,26.31841329,0.097036926,8.07E-09,7.411557789,0.00158933,-0.002744663,-0.075751735,110.5905065
196,96571893.04,26.32666548,0.097762667,8.09E-09,7.433668342,0.001567515,-0.002774454,-0.078895728,110.5116108
197,96436579.74,26.33482079,0.098492996,8.12E-09,7.455778894,0.001548629,-0.002804299,-0.081831062,110.4297797
198,96300061.1,26.34286879,0.099227887,8.14E-09,7.477889447,0.001527781,-0.002833269,-0.084816939,110.3449628
199,96162392.07,26.35081565,0.099967422,8.17E-09,7.5,0.001508124,-0.002861215,-0.087638747,110.257324
