order,P,T,L,ST,m,dgr,M_v=8e+6
178,77390692.8,34.68203685,1.475138611,1.03E-07,11.27713568,-3.922804128,
179,77329440.39,34.68898543,1.48259084,1.03E-07,11.31155779,-3.903717466,
180,77266827.25,34.69582396,1.490084106,1.03E-07,11.3459799,-3.884812144,
181,77202890.42,34.70255655,1.497618452,1.03E-07,11.38040201,-3.86609113,
182,77137689.2,34.709197,1.505196266,1.03E-07,11.41482412,-3.847545441,
183,77071178.23,34.71570986,1.512808978,1.03E-07,11.44924623,-3.829178901,
184,77003430.81,34.72212141,1.520462282,1.03E-07,11.48366834,-3.81097991,
185,76934502.91,34.72844064,1.528157109,1.03E-07,11.51809045,-3.792952552,
186,76864415.38,34.73466733,1.535893106,1.03E-07,11.55251256,-3.775089831,
187,76793106.41,34.74075993,1.543659905,1.03E-07,11.58693467,-3.757396703,
188,76720731.62,34.74678025,1.551471451,1.04E-07,11.62135678,-3.739861897,
189,76647238.19,34.75269385,1.559318938,1.04E-07,11.65577889,-3.722485744,
190,76572699.98,34.75851889,1.567206019,1.04E-07,11.69020101,-3.705269117,
191,76497066.47,34.76422668,1.575125641,1.04E-07,11.72462312,-3.688209399,
192,76420412.96,34.76983734,1.583081723,1.04E-07,11.75904523,-3.671299817,
193,76342832.42,34.77538366,1.591081173,1.04E-07,11.79346734,-3.654536755,
194,76264239.46,34.78081698,1.599112398,1.04E-07,11.82788945,-3.637924994,
195,76184711.15,34.78616262,1.607180593,1.04E-07,11.86231156,-3.621459933,
196,76104286.85,34.79142702,1.615286491,1.05E-07,11.89673367,-3.605135152,
197,76022910.18,34.79657771,1.623422334,1.05E-07,11.93115578,-3.588955637,
198,75940809.85,34.80170441,1.63160832,1.05E-07,11.96557789,-3.572911087,
199,75857607.48,34.80663319,1.639803254,1.05E-07,12,-3.557013321,
