order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
110,76055384.57,33.88480886,1.094080763,1.07E-07,8.936432161,-980.3077491,,0.002616393,0.003859144,0.031809857,4.846879731
111,76196647.08,33.90231769,1.097281525,1.07E-07,8.970854271,-972.9316367,,0.002582914,0.003711284,0.031067373,4.877947105
112,76332653.48,33.91966457,1.100593283,1.06E-07,9.005276382,-965.6686705,,0.002557708,0.003566698,0.030369031,4.908316136
113,76463495.8,33.93675883,1.103992804,1.06E-07,9.039698492,-958.5202366,,0.00251918,0.00342528,0.029608127,4.937924263
114,76589270.61,33.95364606,1.107488052,1.05E-07,9.074120603,-951.4835548,,0.002487426,0.003287099,0.028885498,4.966809761
115,76710064.93,33.97032723,1.111076952,1.05E-07,9.108542714,-944.5545378,,0.002455858,0.003151857,0.028167437,4.994977198
116,76825972.58,33.98680525,1.114757784,1.05E-07,9.142964824,-937.733114,,0.002424768,0.003019688,0.027456685,5.022433884
117,76937081.14,34.00308236,1.118528851,1.04E-07,9.177386935,-931.0098502,,0.002394049,0.002890385,0.026752236,5.04918612
118,77043472.46,34.01915959,1.122388481,1.04E-07,9.211809045,-924.3903942,,0.002363526,0.002763761,0.026052809,5.075238929
119,77145239.4,34.03504012,1.126335013,1.03E-07,9.246231156,-917.8698292,,0.002333512,0.002640063,0.025361795,5.100600724
120,77242459.25,34.05072447,1.130366811,1.03E-07,9.280653266,-911.4431829,,0.002303617,0.002518851,0.024675471,5.125276196
121,77335219.43,34.06621481,1.134482262,1.03E-07,9.315075377,-905.112294,,0.00227408,0.002400352,0.02399671,5.149272906
122,77423598.97,34.08151204,1.138679812,1.02E-07,9.349497487,-898.8724539,,0.002244716,0.002284317,0.023323761,5.172596667
123,77507678.97,34.09661978,1.142958419,1.02E-07,9.383919598,-892.7246271,,0.002215921,0.00217077,0.022659212,5.195255879
124,77587539.84,34.11153916,1.147316548,1.02E-07,9.418341709,-886.6616504,,0.002187332,0.002059661,0.022001379,5.217257258
125,77663257.26,34.12627107,1.151752553,1.02E-07,9.452763819,-880.6848477,,0.002158907,0.001950842,0.021349688,5.238606946
126,77734909.94,34.14081936,1.15626584,1.01E-07,9.48718593,-874.7921485,,0.002131084,0.001844364,0.020707079,5.259314025
127,77802564.66,34.15518391,1.160854702,1.01E-07,9.52160804,-868.9821379,,0.002103279,0.001739895,0.020069142,5.279383167
128,77866312.02,34.16936779,1.165518078,1.01E-07,9.556030151,-863.2523625,,0.002075956,0.001638025,0.019441749,5.298824916
129,77926210.73,34.18337239,1.170254893,1.01E-07,9.590452261,-857.5999973,,0.002048872,0.00153791,0.01881956,5.317644477
130,77982334.23,34.19719609,1.175063367,1.00E-07,9.624874372,-852.0279214,,0.002021583,0.001439908,0.018202451,5.335846927
131,78034755.33,34.21084521,1.179943195,1.00E-07,9.659296482,-846.5292334,,0.001995251,0.001343984,0.017596653,5.353443581
132,78083544.65,34.22431895,1.184893051,9.99E-08,9.693718593,-841.104415,,0.001968832,0.00125006,0.016996569,5.370440149
133,78128768.85,34.23761993,1.18991194,9.97E-08,9.728140704,-835.7509123,,0.001942829,0.001158019,0.016404507,5.386844657
134,78170490.58,34.25074882,1.194998766,9.96E-08,9.762562814,-830.4665002,,0.001916951,0.00106774,0.015818574,5.40266323
135,78208786.09,34.26371133,1.200153416,9.94E-08,9.796984925,-825.2562982,,0.001891939,0.000979555,0.015244713,5.417907943
136,78243713.22,34.27650456,1.205373977,9.92E-08,9.831407035,-820.1112515,,0.001866529,0.000892977,0.014673893,5.432581837
137,78275339.62,34.28913637,1.21066084,9.91E-08,9.865829146,-815.0330625,,0.001842294,0.000808244,0.01411597,5.446697806
138,78303716.07,34.30159336,1.216010089,9.89E-08,9.900251256,-810.0196436,,0.001816134,0.000724911,0.013552294,5.460250101
139,78328919.4,34.31389255,1.221424016,9.88E-08,9.934673367,-805.070286,,0.00179248,0.000643629,0.013010178,5.473260279
140,78351005.53,34.32602915,1.226900439,9.87E-08,9.969095477,-800.1815681,,0.001768155,0.000563854,0.012469966,5.485730246
141,78370034.28,34.33800772,1.23243934,9.86E-08,10.00351759,-795.3590351,,0.001744518,0.000485672,0.011939584,5.49766983
142,78386059.27,34.34982462,1.238038674,9.85E-08,10.0379397,-790.5914263,,0.001720378,0.000408915,0.011411937,5.509081766
143,78399146.44,34.36148702,1.243698957,9.84E-08,10.07236181,-785.8846787,,0.001697304,0.000333888,0.010897246,5.519979012
144,78409350.81,34.37299522,1.249419135,9.83E-08,10.10678392,-781.2350108,,0.001674297,0.000260302,0.010388777,5.530367789
145,78416722.03,34.3843475,1.255197916,9.82E-08,10.14120603,-776.6432592,,0.001651065,0.00018801,0.009884334,5.540252123
146,78421321.56,34.39554933,1.261035371,9.81E-08,10.17562814,-772.106491,,0.001628649,0.000117306,0.009391243,5.549643365
147,78423202.38,34.40659948,1.266930241,9.81E-08,10.21005025,-767.6238294,,0.001606076,4.80E-05,0.008903208,5.558546574
148,78422417.55,34.41750163,1.27288222,9.80E-08,10.24447236,-763.1950657,,0.00158406,-2.00E-05,0.008424188,5.566970762
149,78419017.03,34.42825496,1.278890328,9.80E-08,10.27889447,-758.8166963,,0.001561945,-8.67E-05,0.007950313,5.574921074
150,78413056.6,34.43886235,1.284954207,9.79E-08,10.31331658,-754.4933135,,0.001540269,-0.000152021,0.007485367,5.582406441
151,78404585.78,34.44932548,1.29107327,9.79E-08,10.34773869,-750.218942,,0.001518856,-0.000216068,0.00702764,5.589434081
152,78393651.86,34.45964507,1.297246609,9.78E-08,10.3821608,-745.9935253,,0.001497569,-0.00027893,0.006576148,5.59601023
153,78380302.45,34.46982221,1.303473879,9.78E-08,10.41658291,-741.8167824,,0.001476457,-0.000340603,0.006131297,5.602141527
154,78364589.9,34.47985799,1.309754103,9.78E-08,10.45100503,-737.6885324,,0.001455522,-0.000400971,0.005693811,5.607835338
155,78346565.47,34.48975595,1.316087405,9.78E-08,10.48542714,-733.6070475,,0.001435119,-0.000460068,0.005265533,5.613100871
156,78326264.85,34.49951537,1.322472736,9.78E-08,10.51984925,-729.5701102,,0.001414629,-0.000518293,0.004841038,5.61794191
157,78303745.55,34.50913987,1.328909776,9.78E-08,10.55427136,-725.5814446,,0.00139468,-0.000575096,0.004426789,5.622368699
158,78279042.08,34.51862744,1.335397733,9.78E-08,10.58869347,-721.6337465,,0.001374458,-0.000631065,0.004015281,5.62638398
159,78252204.1,34.52798119,1.341935923,9.78E-08,10.62311558,-717.7312171,,0.0013547,-0.000685818,0.003612645,5.629996625
160,78223281.56,34.53720592,1.348525118,9.78E-08,10.65753769,-713.8712597,,0.001335656,-0.00073935,0.003220316,5.633216941
